
"Banco de México"

"Sistemas de pago de bajo valor"
"Número de operaciones tercero a tercero en SPEI"

"Fecha de consulta: 25/07/2026 12:23:09"

""

"Título","Número de operaciones tercero a tercero en SPEI - Mayores a 8 mil y menores a 300 mil"
"Periodo disponible","01/01/2009 - 20/07/2026"
"Periodicidad","Diaria"
"Cifra","Flujos"
"Unidad","Sin Unidad"
"Base",""
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SF336087"
17/06/2011,174550
18/06/2011,N/E
19/06/2011,N/E
20/06/2011,126541
21/06/2011,109872
22/06/2011,108784
23/06/2011,119730
24/06/2011,177310
25/06/2011,N/E
26/06/2011,N/E
27/06/2011,127645
28/06/2011,134399
29/06/2011,165936
30/06/2011,243729
01/07/2011,166378
02/07/2011,N/E
03/07/2011,N/E
04/07/2011,127314
05/07/2011,126950
06/07/2011,114625
07/07/2011,134980
08/07/2011,186343
09/07/2011,N/E
10/07/2011,1
11/07/2011,128094
12/07/2011,120926
13/07/2011,120719
14/07/2011,162640
15/07/2011,220598
16/07/2011,1
17/07/2011,N/E
18/07/2011,137572
19/07/2011,114397
20/07/2011,111171
21/07/2011,122882
22/07/2011,170376
23/07/2011,N/E
24/07/2011,N/E
25/07/2011,128240
26/07/2011,115607
27/07/2011,126535
28/07/2011,166316
29/07/2011,295581
30/07/2011,N/E
31/07/2011,N/E
01/08/2011,131400
02/08/2011,113156
03/08/2011,118975
04/08/2011,199576
05/08/2011,188098
06/08/2011,N/E
07/08/2011,N/E
08/08/2011,129169
09/08/2011,120219
10/08/2011,130134
11/08/2011,133196
12/08/2011,209141
13/08/2011,N/E
14/08/2011,N/E
15/08/2011,180960
16/08/2011,127362
17/08/2011,118739
18/08/2011,125346
19/08/2011,177135
20/08/2011,0
21/08/2011,N/E
22/08/2011,118228
23/08/2011,123406
24/08/2011,114846
25/08/2011,133247
26/08/2011,184778
27/08/2011,N/E
28/08/2011,N/E
29/08/2011,150264
30/08/2011,181286
31/08/2011,221465
01/09/2011,129561
02/09/2011,168768
03/09/2011,N/E
04/09/2011,N/E
05/09/2011,137285
06/09/2011,118577
07/09/2011,119151
08/09/2011,128626
09/09/2011,191512
10/09/2011,N/E
11/09/2011,N/E
12/09/2011,136496
13/09/2011,137580
14/09/2011,183194
15/09/2011,220017
16/09/2011,N/E
17/09/2011,N/E
18/09/2011,N/E
19/09/2011,145281
20/09/2011,124143
21/09/2011,119188
22/09/2011,130406
23/09/2011,185855
24/09/2011,N/E
25/09/2011,N/E
26/09/2011,136072
27/09/2011,124824
28/09/2011,140512
29/09/2011,186873
30/09/2011,285623
01/10/2011,N/E
02/10/2011,0
03/10/2011,143230
04/10/2011,123518
05/10/2011,130663
06/10/2011,130554
07/10/2011,191874
08/10/2011,N/E
09/10/2011,N/E
10/10/2011,143743
11/10/2011,121366
12/10/2011,117745
13/10/2011,153477
14/10/2011,252033
15/10/2011,N/E
16/10/2011,N/E
17/10/2011,155380
18/10/2011,124343
19/10/2011,119960
20/10/2011,133592
21/10/2011,185581
22/10/2011,N/E
23/10/2011,N/E
24/10/2011,132633
25/10/2011,130037
26/10/2011,128708
27/10/2011,151964
28/10/2011,244936
29/10/2011,N/E
30/10/2011,N/E
31/10/2011,264656
01/11/2011,129953
02/11/2011,N/E
03/11/2011,168670
04/11/2011,209326
05/11/2011,N/E
06/11/2011,N/E
07/11/2011,142739
08/11/2011,128170
09/11/2011,124920
10/11/2011,148551
11/11/2011,200337
12/11/2011,N/E
13/11/2011,N/E
14/11/2011,178643
15/11/2011,181211
16/11/2011,136671
17/11/2011,146884
18/11/2011,210635
19/11/2011,N/E
20/11/2011,N/E
21/11/2011,N/E
22/11/2011,167365
23/11/2011,143933
24/11/2011,146165
25/11/2011,213014
26/11/2011,N/E
27/11/2011,N/E
28/11/2011,161733
29/11/2011,195806
30/11/2011,282316
01/12/2011,158821
02/12/2011,207389
03/12/2011,N/E
04/12/2011,N/E
05/12/2011,161919
06/12/2011,149068
07/12/2011,150815
08/12/2011,171205
09/12/2011,248836
10/12/2011,N/E
11/12/2011,N/E
12/12/2011,N/E
13/12/2011,245593
14/12/2011,216623
15/12/2011,251543
16/12/2011,264289
17/12/2011,N/E
18/12/2011,N/E
19/12/2011,189164
20/12/2011,183336
21/12/2011,179379
22/12/2011,182208
23/12/2011,219302
24/12/2011,N/E
25/12/2011,N/E
26/12/2011,122423
27/12/2011,127063
28/12/2011,148712
29/12/2011,185843
30/12/2011,261819
31/12/2011,N/E
01/01/2012,N/E
02/01/2012,97528
03/01/2012,96264
04/01/2012,105400
05/01/2012,129212
06/01/2012,164407
07/01/2012,0
08/01/2012,N/E
09/01/2012,133673
10/01/2012,129110
11/01/2012,115137
12/01/2012,138951
13/01/2012,250639
14/01/2012,N/E
15/01/2012,N/E
16/01/2012,154734
17/01/2012,131501
18/01/2012,116154
19/01/2012,127270
20/01/2012,183880
21/01/2012,N/E
22/01/2012,N/E
23/01/2012,131388
24/01/2012,117526
25/01/2012,125661
26/01/2012,132815
27/01/2012,207146
28/01/2012,N/E
29/01/2012,N/E
30/01/2012,192333
31/01/2012,250325
01/02/2012,127172
02/02/2012,128624
03/02/2012,200692
04/02/2012,N/E
05/02/2012,N/E
06/02/2012,N/E
07/02/2012,160168
08/02/2012,137445
09/02/2012,140827
10/02/2012,207705
11/02/2012,0
12/02/2012,N/E
13/02/2012,148226
14/02/2012,161644
15/02/2012,179012
16/02/2012,146894
17/02/2012,198030
18/02/2012,0
19/02/2012,N/E
20/02/2012,141090
21/02/2012,124526
22/02/2012,126276
23/02/2012,140659
24/02/2012,205601
25/02/2012,N/E
26/02/2012,N/E
27/02/2012,161864
28/02/2012,195452
29/02/2012,265154
01/03/2012,144256
02/03/2012,197587
03/03/2012,N/E
04/03/2012,N/E
05/03/2012,151281
06/03/2012,132002
07/03/2012,135442
08/03/2012,146191
09/03/2012,209213
10/03/2012,N/E
11/03/2012,N/E
12/03/2012,149442
13/03/2012,137852
14/03/2012,172037
15/03/2012,203375
16/03/2012,225882
